v,change
0.278629981,0
0.286949111,4
0.279766253,4
0.283824365,4
0.270838406,4
0.278629981,4
0.278629981,4
0.279116955,4
0.279198117,4
0.281673565,4
0.279482185,4
0.278508238,8
0.274084896,8
0.292589887,8
0.280131483,8
0.270838406,8
0.278427076,8
0.281957633,8
0.280983686,8
0.288815843,8
0.295389985,8
0.274125477,8
0.282160539,12
0.270189108,12
0.278508238,12
0.274084896,12
0.271771772,12
0.280983686,12
0.280050321,12
0.266942618,12
0.282688093,12
0.272218164,12
0.274774775,16
0.257487217,16
0.271325379,16
0.275261748,16
0.277980683,16
0.274084896,16
0.27169061,16
0.256837919,16
0.27931986,16
0.275870465,16
0.277574872,18
0.26049022,18
0.272664556,18
0.274490707,18
0.28544761,18
0.274003733,18
0.276641506,18
0.279035793,20
0.284798312,20
0.276438601,20
0.285407029,20
0.283256229,20
0.275586397,20
0.257284311,20
0.273273273,20
0.283783784,20
0.278995211,20
0.267673078,22
0.269823878,22
0.269823878,22
0.277047318,22
0.281511241,22
0.261910559,22
0.273963152,22
0.283783784,22
0.276519763,24
0.288612937,24
0.264710657,24
0.261098937,24
0.268281795,24
0.287070855,24
0.274855937,24
0.267307848,24
0.263614966,24
0.273638503,24
0.274571869,26
0.279806834,26
0.275099424,26
0.2865433,26
0.274855937,26
0.278995211,26
0.268038309,26
0.284270757,26
0.283256229,26
0.280415551,26
0.271893515,30
0.271974677,30
0.274693613,30
0.276925574,30
0.270473176,30
0.274855937,30
0.284351919,30
0.272542813,30
0.281064849,30
0.282404026,30
0.263696129,32
0.284149014,32
0.256959662,32
0.283377973,32
0.27749371,32
0.277371967,32
0.297216135,32
0.261748235,32
0.264223683,32
0.28978979,32
0.278670562,34
0.263817872,34
0.266902037,34
0.268322376,34
0.288085383,34
0.300909017,34
0.245881016,34
0.263533804,34
0.28978979,34
0.27461245,34
0.271122474,38
0.267916565,38
0.270026784,38
0.254890025,38
0.264386008,38
0.268322376,38
0.28978979,38
0.286380976,38
0.285975164,38
0.274328382,38
0.278021265,40
0.26953981,40
0.26953981,40
0.277777778,40
0.266942618,40
0.283783784,40
0.264020778,40
0.257893028,40
0.274531288,40
0.285975164,40
0.277777778,44
0.259069881,44
0.257487217,44
0.266252739,44
0.278345913,44
0.286259232,44
0.252779807,44
0.281957633,44
0.259069881,44
0.268281795,44
0.266333901,46
0.27351676,46
0.272989205,46
0.278345913,46
0.278467657,46
0.269458648,46
0.26049022,46
0.253956659,46
0.273719666,46
0.28508238,46
0.279928577,48
0.279563347,48
0.272908043,48
0.26049022,48
0.282038796,48
0.269012255,48
0.265644022,48
0.280212645,48
0.279563347,48
0.279928577,48
0.269215161,50
0.273110949,50
0.263290317,50
0.268768769,50
0.269458648,50
0.278629981,50
0.263290317,50
0.28508238,50
0.27822417,52
